Екатеринбург,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Айси Цинандали белое сухое 0,75 л",1590,,500,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1100,400
"Вино Цинандали Алаверди белое сухое 0,75 л",1600,,500,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1200,470
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1720,,570,Чили,Совиньон Блан\Москатель,"12,5",,,,,,1600,500
"Вино Куумба Шардоне белое сухое 0,75 л",1770,,600,ЮАР,Уни Блан/Совиньон Блан/Айрен,13,,,,,,1200,400
Вино Бродлиф Совиньон Блан белое сухое,1820,,630,ЮАР,Совиньон Блан,"12,5",,,,,,1500,550
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",1860,,650,ЮАР,Шардоне,"12,5",,,,,,1700,650
"Вино Тенуте Дель Неччио Орвието Классико белое сухое 0,75 л",1950,,700,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,1600,680
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2120,,800,Италия,Пино Гриджио,"12,5",,,,,,1600,690
"Вино Универсале белое полусухое 0,75 л",2220,,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,1900,850
"Вино Н Нивариус белое сухое 0,75 л",2310,,900,Испания,Темпранильо Бланко,13,,,,,,1900,900
Вино Маркес Де Касерес Бланко белое сухое 0.75,2440,,970,Испания,Виура/Макабео,12.5,,,,,,1900,950
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2490,,1000,Франция,Совиньон Блан,"11,5",,,,,,2000,860
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3390,,1500,Испания,Альбариньо,"13,5",,,,,,2500,1490
Вино Трамонтана Сицилия белое сухое,,нет,490,Италия,Треббьяно,11,,,,,,1000,370
Вино Санта Лус Альба Совиньон Блан Центральная долина белое сухое,,нет,нет,Чили,Совиньон Блан,12,,,,,,1600,740
"Вино Маркези Спинола Гави Биолоджико DOCG белое сухое 0,75 л",,нет,нет,Италия,Кортезе,"12,5",,,,,,2500,1500
"Вино Ошторошбор Иршаи Оливер белое сухое 0,75 л",,нет,нет,Венгрия,Иршаи Оливер,11.5,,,,,,1400,500
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1580,,490,Грузия,Ркацители\Кахури Мцване,13,,,,,,1200,400
"Вино Бадагони Алазанская Долина белое полусладкое 0,75 л",1660,,540,Грузия,Ркацители,"10,5",,,,,,1399,470
