ИРКУТСК,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
ВИНО БЕЛОЕ СУХОЕ,,,,,,,,,,,,,
"Вино Айси Цинандали белое сухое 0,75 л",1670,,490,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1100,400
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1850,,590,Чили,Совиньон Блан/Москатель,"12,5",,,,,,1500,570
"Вино Куумба Шардоне белое сухое 0,75 л",1880,,600,ЮАР,Шардоне,13,,,,,,1200,480
Вино Бродлиф Совиньон Блан белое сухое,1960,,650,ЮАР,Совиньон Блан,"12,5",,,,,,1500,600
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",2000,,670,ЮАР,Шардоне,"12,5",,,,,,1700,650
"Вино П.В.С.& Б Стеларис Пино Гриджио белое сухое 0,75 л",2030,,690,ЮАР,Пино Гриджио,13,,,,,,1600,660
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",2060,,700,Испания,Вердехо,"12,5",,,,,,1700,670
"Вино Тенуте Дель Неччио Орвието Классико белое сухое 0,75 л",2150,,750,Италия,,,,,,,,1600,640
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2340,,850,Италия,Пино Гриджио,"12,5",,,,,,1600,700
"Вино Адега Май Дори белое сухое 0,75 л",2340,,850,Португалия,Виозиньо\Аринту\Альвариньо\Совиньон Блан,"12,5",,,,,,1800,850
Вино Маркес Де Касерес Бланко белое сухое 0.75,2600,,990,Испания,Виура/Макабео,12,,,,,,2000,950
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2680,,1030,Франция,Совиньон Блан,"11,5",,,,,,2000,1030
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3650,,1550,Испания,Альбариньо,"13,5",,,,,,2500,1450
"Вино Н Нивариус белое сухое 0,75 л",1620,нет,600,Испания,Темпранильо Бланко,"13,5",,,,,,1900,900
"Вино Пино Гриджио Делле Венецие Арнази белое сухое 0,75 л",2890,нет,1350,Италия,Пино Гриджио,"12,5",,,,,,2400,1300
"Вино Эль Ниньо и Ла Луна Бланко белое сухое 0,75 л",1620,нет,600,Испания,Совиньон Блан/Макабео,"11,5",,,,,,1500,600
Вино Трамонтана Сицилия белое сухое,1450,нет,500,Италия,Треббьяно,11,,,,,,1000,390
"Вино Цинандали Алаверди белое сухое 0,75 л",1500,нет,530,Грузия,Ркацители\Мцване Кахури,12,,,,,,1400,490
"Вино Ошторошбор Иршаи Оливер белое сухое 0,75 л",,нет,нет,Венгрия,Иршаи Оливер,"11,5",,,,,,1600,650
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1680,,500,Грузия,Ркацители\Кахури Мцване,13,,,,,,1400,400
"Вино Бадагони Алазанская Долина белое полусладкое 0,75 л",1810,,570,Грузия,Ркацители,"10,5",,,,,,1399,490
