Калининград,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
ВИНО БЕЛОЕ СУХОЕ,,,,,,,,,,,,,
"Вино Куумба Шардоне белое сухое 0,75 л",1770,600,600,ЮАР,Шардоне,13,,,,,,1199,470
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1720,590,570,Чили,Совиньон Блан/Москатель,"12,5",,,,,,1299,500
Вино Бродлиф Совиньон Блан белое сухое,1820,650,630,ЮАР,Совиньон Блан,"12,5",,,,,,1399,570
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",1860,650,650,ЮАР,Шардоне,"12,5",,,,,,1599,650
"Вино П.В.С.& Б Стеларис Пино Гриджио белое сухое 0,75 л",1890,670,670,ЮАР,Пино Гриджио,13,,,,,,1599,670
Вино Тенуте Дель Неччио Орвието Классико Умбрия DOC белое сухое,1980,720,720,Италия,"Грекетто, Проканико, Шардоне",12.5,,,,,,1499,620
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2180,830,830,Италия,Пино Гриджио,"12,5",,,,,,1699,690
"Вино Универсале белое полусухое 0,75 л",2220,850,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,1899,850
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2490,1000,1000,Франция,Совиньон Блан,"11,5",,,,,,2299,1000
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3390,1500,1500,Испания,Альбариньо,"13,5",,,,,,2999,1500
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое 0,75 л",1750,нет,590,Чили,Совиньон Блан,13,,,,,,1499,590
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",1930,нет,690,Испания,Вердехо,"12,5",,,,,,1599,670
"Вино Адега Май Дори белое сухое 0,75 л",2120,нет,800,Португалия,Виозиньо\Аринту\Альвариньо\Совиньон Блан,"12,5",,,,,,1799,800
Вино Маркес Де Касерес Бланко белое сухое 0.75,2440,нет,970,Испания,Виура/Макабео,12,,,,,,1999,950
"Вино Пино Гриджио Делле Венецие Арнази белое сухое 0,75 л",3190,нет,1390,Италия,Пино Гриджио,"12,5",,,,,,2399,1390
