МОСКВА,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,300,,,,,,,,цена
ВИНО БЕЛОЕ СУХОЕ,,,,,,,,,,,,,,,,,,300,,,,,,,,
"Вино Айси Цинандали белое сухое 0,75 л",1640,,480,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,,,,,,,500,,,,,,,,1299
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1810,,570,Чили,Совиньон Блан\Москатель,12,,,,,,,,,,,,620,,,,,,,,1499
Вино Бродлиф Совиньон Блан белое сухое,1920,,630,ЮАР,Совиньон Блан,"12,5",,,,,,,,,,,,690,,,,,,,,1599
Вино Тенуте Дель Неччио Орвието Классико DOC белое сухое,2090,,720,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,,,,,,,850,,,,,,,,1699
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2300,,830,Италия,Пино Гриджио,"12,5",,,,,,,,,,,,900,,,,,,,,1899
"Вино Универсале белое полусухое 0,75 л",2340,,850,Италия,Грилло\Совиньон\Верментино,12,,,,,,,,,,,,950,,,,,,,,1899
"Вино Н Нивариус белое сухое 0,75 л",1880,,600,Испания,Темпранильо/Бланко,12.5,,,,,,,,,,,,1000,,,,,,,,1999
Вино Маркес Де Касерес Бланко белое сухое 0.75,2570,,970,Испания,,,,,,,,,,,,,,1500,,,,,,,,2199
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2610,,1000,Франция,Совиньон Блан,"11,5",,,,,,,,,,,,500,,,,,,,,2499
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3550,,1500,Испания,Альбариньо,"13,5",,,,,,,,,,,,300,,,,,,,,3999
Вино Трамонтана Сицилия белое сухое,,нет,500,Италия,Треббьяно,11,,,,,,,,,,,,550,,,,,,,,1299
Вино Санта Лус Альба Совиньон Блан Центральная долина белое сухое,,НЕТ,НЕТ,Чили,Совиньон Блан,12,,,,,,,,,,,,1500,,,,,,,,1499
"Вино Солторо Вердехо белое сухое 0,75 л",,НЕТ,НЕТ,Испания,Вердехо ,"11,5",,,,,,,,,,,,,,,,,,,,1299
"Вино Маркези Спинола Гави Биолоджико DOCG белое сухое 0,75 л",,НЕТ,НЕТ,Италия,Кортезе,"12,5",,,,,,,,,,,,закуп,,,,,,,,2999
,,,,,,,,,,,,,,,,,,350,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,320,,,,,,,,цена
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1840,,580,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,,,,,,,370,,,,,,,,1299
"Вино Кахури Гвинис Марани Алазанская Долина белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители,12,,,,,,,,,,,,500,,,,,,,,1299
Вино Трамонтана Сицилия белое полусладкое,1680,,500,Италия,Треббьяно,"10,5",,,,,,,,,,,,400,,,,,,,,1399
"Вино Бадагони Алазанская Долина белое полусладкое 0,75 л",1880,,600,Грузия,Ркацители,"10,5",,,,,,,,,,,,450,,,,,,,,1399
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Кахури Мцване,13,,,,,,,,,,,,590,,,,,,,,1499
"Вино Блэк Бёрд Вестерн Кейп Во белое полусладкое 0,75 л",1600,,450,ЮАР,Шенен Блан,"11,5",,,,,,,,,,,,600,,,,,,,,1599
"Вино Энгельшайн Либлих белое полусладкое 0,75 л",1920,,630,Германия,Айрен\Треббьяно\Макабео,"9,5",,,,,,,,,,,,800,,,,,,,,1699
"Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое 0,75 л",2060,,700,Италия,Маливазия,9,,,,,,,,,,,,990,,,,,,,,1699
Вино Лизард Рислинг бел.п/сл,2240,,800,Германия,Рислинг,11,,,,,,,,,,,,370,,,,,,,,1899
Вино Маркес Де Касерес Сантинела Риоха DOC белое полусладкое,2610,,1000,Испания,"Мальвазия, Виура/Макабео",11.5,,,,,,,,,,,,,,,,,,,,2899
"Вино Tabla Алазанская Долина белое полусладкое 0,75 л",,НЕТ,НЕТ,Грузия,Ркацители\Цоликоури,"11,5",,,,,,,,,,,,закуп,,,,,,,,1399
,,,,,,,,,,,,,,,,,,470,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,550,,,,,,,,цена
"Вино Терра де Оро Шардоне белое полусухое 0,75 л",1630,,470,Чили,Шардоне,13,,,,,,,,,,,,730,,,,,,,,1599
Вино PIETRAME Chardonnay Passerina 0.7 б/п.сух,2240,,800,,,,,,,,,,,,,,,,,,,,,,,
"Вино Вилла Анна Пино Гриджио белое полусухое 0,75 л",1880,,600,Италия,Пино Гриджио,12,,,,,,,,,,,,620,,,,,,,,1699
"Вино Вейнцунфт Рислинг Мозель белое полусухое 0,75 л",2300,,830,Германия,Рислинг,12,,,,,,,,,,,,800,,,,,,,,1749
Вино Маре Альта Винью Верде DOC белое полусухое,2060,,700,Португалия,"Аринто/Падерна, Лоурейро",10,,,,,,,,,,,,900,,,,,,,,1799
Вино Лизард Рислинг Трокен белое полусухое,2240,,800,Германия,Рислинг,12,,,,,,,,,,,,950,,,,,,,,1899
"Вино Примо Фиоре Фамозо белое полусухое 0,75 л",2430,,900,Италия,Фамозо,"12,5",,,,,,,,,,,,950,,,,,,,,2399
"Вино Зибенштейн Совиньон Блан Пфальц белое полусухое 0,75 л",2520,,950,Германия,Совиньон Блан,"12,5",,,,,,,,,,,,1000,,,,,,,,2499
"Вино Зибенштейн Рислинг Пфальц белое полусухое 0,75 л",2570,,970,Германия,Рислинг,12,,,,,,,,,,,,,,,,,,,,2499
Вино Макуту Бей Совиньон Блан белое полусухое ,2890,,1150,Новая Зеландия,Совиньон Блан,12,,,,,,,,,,,,закуп,,,,,,,,2999
,,,,,,,,,,,,,,,,,,550,,,,,,,,
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,800,,,,,,,,цена
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",1920,,630,ЮАР,Совиньон Блан\Пино Нуар,"12,5",,,,,,,,,,,,500,,,,,,,,1899
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",2240,,800,Италия,Санджовезе\Мерло,"12,5",,,,,,,,,,,,500,,,,,,,,2499
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",,НЕТ,НЕТ,Испания,Бобаль,12,,,,,,,,,,,,,,,,,,,,1599
"Вино жемчужное Кашу Фрешку розовое сухое 0,75 л",,НЕТ,НЕТ,Португалия,Арагонеш\Каштелау,"11,5",,,,,,,,,,,,закуп,,,,,,,,1599
,,,,,,,,,,,,,,,,,,500,,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,620,,,,,,,,цена
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1360,,650,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,,,,,,,750,,,,,,,,1599
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",1410,,700,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,,,,,,,,,,,,,,,1999
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",1520,,830,Италия,Примитиво/Мерло,"12,5",,,,,,,,,,,,закуп,,,,,,,,2499
,,,,,,,,,,,,,,,,,,250,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,490,,,,,,,,цена
"Вино Саперави красное сухое 0,75 л",1260,,270,Россия,Саперави,11,,,,,,,,,,,,400,,,,,,,,1299
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1680,,500,Испания,Темпранильо,11,,,,,,,,,,,,570,,,,,,,,1599
"Вино Сол де Плата Мальбек красное сухое 0,75 л",1960,,650,Аргентина,Мальбек,"13,5",,,,,,,,,,,,870,,,,,,,,1699
"Вино Марселино Риоха красное сухое 0,75 л",2000,,670,Испания,Темпранильо,"13,5",,,,,,,,,,,,670,,,,,,,,1799
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2060,мало,700,Испания,Темпранильо,"13,5",,,,,,,,,,,,650,,,,,,,,2099
"Вино Саперави Бадагони красное сухое 0,75 л",2130,,740,Грузия,Саперави,13,,,,,,,,,,,,770,,,,,,,,1799
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2190,,770,Испания,Темпранильо,"12,5",,,,,,,,,,,,800,,,,,,,,1999
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2240,,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,,,,,,,1000,,,,,,,,1999
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2240,,800,Испания,Бобаль\Гарнача,"12,5",,,,,,,,,,,,1300,,,,,,,,2099
"Вино Бариста Пинотаж красное сухое 0,75 л",2610,,1000,ЮАР,Пинотаж,13,,,,,,,,,,,,1350,,,,,,,,2199
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3170,,1300,Испания,Темпранильо,"13,5",,,,,,,,,,,,1400,,,,,,,,2899
Вино Маркес Де Касерес Крианса красное сухое 0.75,3270,,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,,,,,,,770,,,,,,,,2949
"Вино Патриа Чика красное сухое 0,75 л",3370,,1400,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,,,,,,,700,,,,,,,,2999
"Вино Терраш де Монсараш красное сухое 0,75 л",,НЕТ,500,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,,,,,,,770,,,,,,,,1799
Вино Трамонтана Апулия красное сухое,,нет,550,Италия,Санджовезе,11,,,,,,,,,,,,670,,,,,,,,1399
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,,,,,,,,,,700,,,,,,,,1999
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,НЕТ,НЕТ,Чили,Пино Нуар,"12,5",,,,,,,,,,,,,,,,,,,,1899
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,НЕТ,НЕТ,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,,,,,,,закуп,,,,,,,,1899
,,,,,,,,,,,,,,,,,,450,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,330,,,,,,,,цена
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1600,,450,ЮАР,Пинотаж,"13,5",,,,,,,,,,,,530,,,,,,,,1499
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1780,,550,Грузия,Саперави,11,,,,,,,,,,,,500,,,,,,,,1599
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1780,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,,,,,,,530,,,,,,,,1699
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1780,,550,Грузия,Саперави,12,,,,,,,,,,,,600,,,,,,,,1499
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1850,,590,Грузия,Саперави,12,,,,,,,,,,,,630,,,,,,,,1699
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2030,,690,Грузия,Саперави,12,,,,,,,,,,,,990,,,,,,,,1899
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2320,,840,Грузия,Саперави,11,,,,,,,,,,,,490,,,,,,,,1999
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,,,,,,,,,,,,,,,,,,2499
Вино Трамонтана Апулия красное полусладкое,,нет,500,Италия,Санджовезе,"10,5",,,,,,,,,,,,550,,,,,,,,1299
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,НЕТ,НЕТ,Грузия,Саперави,"11,5",,,,,,,,,,,,закуп,,,,,,,,1499
,,,,,,,,,,,,,,,,,,400,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,770,,,,,,,,цена
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1600,,450,Грузия,Саперави,"11,5",,,,,,,,,,,,730,,,,,,,,1499
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2000,,670,Италия,Монтепульчано,13,,,,,,,,,,,,650,,,,,,,,1999
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2060,,700,Италия,Примитиво\Негроамаро,15,,,,,,,,,,,,700,,,,,,,,1849
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2120,,730,Италия,Негроамаро,13,,,,,,,,,,,,770,,,,,,,,1799
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2190,,770,Италия,Примитиво,"13,5",,,,,,,,,,,,870,,,,,,,,1899
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2370,,870,Италия,Монтепульчано,13,,,,,,,,,,,,900,,,,,,,,1999
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2370,,870,Италия,Неро д'Авола,13,,,,,,,,,,,,850,,,,,,,,2599
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2430,,900,Италия,Ува Лонганези,"13,5",,,,,,,,,,,,950,,,,,,,,2699
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2480,,930,Италия,Примитиво,14,,,,,,,,,,,,1000,,,,,,,,2499
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2520,,950,Германия,Пино Нуар,"12,5",,,,,,,,,,,,950,,,,,,,,2799
"Вино Баррелая красное полусухое 0,75 л",2610,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,,,,,,,1200,,,,,,,,2999
"Вино Кьянти Ризерва красное полусухое 0,75 л",2810,,1100,Италия,Санджовезе\Мерло,13,,,,,,,,,,,,1100,,,,,,,,2799
"Вино Неро ди Тройя красное полусухое 0,75 л",2990,,1200,Италия,Неро ди Троя,15,,,,,,,,,,,,1300,,,,,,,,3299
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3170,,1300,Италия,Монтепульчано,"13,5",,,,,,,,,,,,1400,,,,,,,,3099
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3170,,1300,Италия,Сузуманьелло,"14,5",,,,,,,,,,,,850,,,,,,,,3399
Вино ВайНот?! IGP красное полусухое,3370,,1400,Италия,Зинфандель,15,,,,,,,,,,,,470,,,,,,,,3499
