МУРМАНСК,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Айси Цинандали белое сухое 0,75 л",1630,,470,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1100,420
"Вино Цинандали Алаверди белое сухое 0,75 л",1680,,500,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1200,490
"Вино Бродлиф Совиньон Блан белое сухое 0,75 л",1920,,630,ЮАР,Совиньон Блан,"12,5",,,,,,1600,550
"Вино Куумба Шардоне белое сухое 0,75 л",1960,,650,ЮАР,Шардоне,12,,,,,,1200,420
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",2000,,670,ЮАР,Шардоне,"12,5",,,,,,1700,670
"Вино Тенуте Дель Неччио Орвието Классико белое сухое 0,75 л",2030,,690,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,1600,670
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2230,,790,Италия,Пино Гриджио,"12,5",,,,,,1600,670
"Вино Универсале белое полусухое 0,75 л",2340,,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,1999,850
"Вино Н Нивариус белое сухое 0,75 л",2430,,900,Испания,Темпранильо Бланко,"13,5",,,,,,1999,900
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2610,,1000,Франция,Совиньон Блан,"11,5",,,,,,2099,1000
Вино Маркес Де Касерес Бланко белое сухое 0.75,2890,,1150,Испания,Виура/Макабео,12.5,,,,,,2499,1150
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",2990,,1200,Чили,Совиньон Блан\Москатель,"12,5",,,,,,2599,1200
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3580,,1520,Испания,Альбариньо,"13,5",,,,,,3199,1520
Вино Трамонтана Сицилия белое сухое,,нет,490,Италия,Треббьяно,11,,,,,,1000,390
Вино Санта Лус Альба Совиньон Блан Центральная долина белое сухое,,нет,нет,Чили,Совиньон Блан,12,,,,,,1999,865
"Вино Умбрия Блан Иль де Боте Казанова белое сухое 0,75 л",,нет,нет,Франция,Верментино/Шардоне,12,,,,,,3699,1700
"Вино Маркези Спинола Гави Биолоджико DOCG белое сухое 0,75 л",,нет,нет,Италия,Кортезе,"12,5",,,,,,3199,1520
"Вино Фонте Форте Бьянко Терре Ди Кьети Абруццо IGP белое сухое 0,75 л",,нет,нет,Италия,Треббьяно,11,,,,,,1300,490
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Кахури Мцване,13,,,,,,999,350
"Вино Tabla Алазанская Долина белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Цоликоури,"11,5",,,,,,1399,400
"Вино Бадагони Алазанская Долина белое полусладкое 0,75 л",1680,,500,Грузия,Ркацители,"10,5",,,,,,1399,470
"Вино Энгельшайн Либлих белое полусладкое 0,75 л",1880,,600,Германия,Айрен\Треббьяно\Макабео,"9,5",,,,,,1500,600
"Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое 0,75 л",2030,,690,Италия,Маливазия,9,,,,,,1500,650
Вино Лизард Рислинг бел.п/сл,2240,,800,Германия,Рислинг,11,,,,,,1600,770
Вино Маркес Де Касерес Сантинела Риоха DOC белое полусладкое,2610,,1000,Испания,"Мальвазия, Виура/Макабео",11.5,,,,,,2299,1000
"Вино Блэк Бёрд Вестерн Кейп Во белое полусладкое 0,75 л",2710,,1050,ЮАР,Шенен Блан,"11,5",,,,,,2299,1050
Вино Трамонтана Сицилия белое полусладкое,,нет,490,Италия,Треббьяно,"10,5",,,,,,1000,390
Вино Санта Лус Альба Москато Центральная долина белое полусладкое,,нет,нет,Чили,Москато,12,,,,,,1899,850
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Терра де Оро Шардоне белое полусухое 0,75 л",1630,,470,Чили,Шардоне,13,,,,,,1500,470
"Вино Вилла Анна Пино Гриджио белое полусухое 0,75 л",1910,,620,Италия,Пино Гриджио,12,,,,,,1500,550
Вино Маре Альта Винью Верде DOC белое полусухое,2030,,690,Португалия,"Аринто/Падерна, Лоурейро",10,,,,,,1600,650
"Вино Вейнцунфт Рислинг Мозель белое полусухое 0,75 л",2240,,800,Германия,Рислинг,12,,,,,,1700,730
Вино Лизард Рислинг Трокен белое полусухое,2300,,830,Германия,Рислинг,12,,,,,,1799,830
"Вино Примо Фиоре Фамозо белое полусухое 0,75 л",2430,,900,Италия,Фамозо,"12,5",,,,,,1799,790
"Вино Зибенштейн Рислинг Пфальц белое полусухое 0,75 л",2570,,970,Германия,Рислинг,12,,,,,,1999,970
"Вино Зибенштейн Совиньон Блан Пфальц белое полусухое 0,75 л",2570,,970,Германия,Совиньон Блан,"12,5",,,,,,1999,970
Вино Макуту Бей Совиньон Блан белое полусухое ,2890,,1150,Новая Зеландия,Совиньон Блан,12,,,,,,2199,1100
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",1950,,640,Испания,Бобаль,12,,,,,,1500,640
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",2000,,670,ЮАР,Совиньон Блан\Пино Нуар,"12,5",,,,,,1700,670
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",2240,,800,Италия,Санджовезе\Мерло,"12,5",,,,,,1900,770
"Вино жемчужное Кашу Фрешку розовое сухое 0,75 л",,нет,нет,Португалия,Арагонеш\Каштелау,"11,5",,,,,,1600,550
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1960,,650,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,1600,590
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2030,,690,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,1700,670
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2240,,800,Италия,Примитиво/Мерло,"12,5",,,,,,1900,770
,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Саперави красное сухое 0,75 л",1260,,270,Россия,Саперави,11,,,,,,999,250
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1680,,500,Испания,Темпранильо,11,,,,,,1500,490
"Вино Терраш де Монсараш красное сухое 0,75 л",1960,,650,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1700,650
"Вино Сол де Плата Мальбек красное сухое 0,75 л",1960,,650,Аргентина,Мальбек,"13,5",,,,,,1600,650
"Вино Терраш де Монсараш красное сухое 0,75 л",1960,,650,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1900,650
"Вино Саперави Бадагони красное сухое 0,75 л",2000,,670,Грузия,Саперави,13,,,,,,1600,590
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2190,,770,Испания,Темпранильо,"12,5",,,,,,1900,770
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2240,,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,1800,700
"Вино Марселино Риоха красное сухое 0,75 л",2370,,870,Испания,Темпранильо,"13,5",,,,,,1700,650
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2370,,870,Испания,Темпранильо,"13,5",,,,,,2000,800
"Вино Бариста Пинотаж красное сухое 0,75 л",2610,,1000,ЮАР,Пинотаж,13,,,,,,2100,870
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3170,,1300,Испания,Темпранильо,"13,5",,,,,,2799,1300
Вино Маркес Де Касерес Крианса красное сухое 0.75,3270,,1350,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,2799,1300
"Вино Патриа Чика красное сухое 0,75 л",3920,,1700,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,3599,1700
Вино Трамонтана Апулия красное сухое,,нет,490,Италия,Санджовезе,11,,,,,,1000,400
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,2400,1000
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,"12,5",,,,,,1700,670
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,,,,1800,630
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Кахури Гвинис Марани Алазанская Долина белое полусладкое 0,75 л",1600,,450,Грузия,Ркацители,12,,,,,,1300,420
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1600,,450,ЮАР,Пинотаж,"13,5",,,,,,1500,450
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,1400,400
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1670,,490,Грузия,Саперави,11,,,,,,1400,480
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",1680,,500,Грузия,Саперави,"11,5",,,,,,1500,500
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1780,,550,Грузия,Саперави,12,,,,,,1199,500
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1790,,560,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,1600,550
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1850,,590,Грузия,Саперави,12,,,,,,1299,550
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2030,,690,Грузия,Саперави,12,,,,,,1599,650
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2240,,800,Грузия,Саперави,11,,,,,,1699,770
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,,,,2199,1000
Вино Трамонтана Апулия красное полусладкое,,нет,490,Италия,Санджовезе,"10,5",,,,,,1000,450
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1810,,570,Грузия,Саперави,"11,5",,,,,,1100,570
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2120,,730,Италия,Негроамаро,13,,,,,,1500,700
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2120,,730,Италия,Монтепульчано,13,,,,,,1600,730
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2120,,730,Италия,Примитиво\Негроамаро,15,,,,,,1700,730
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2190,,770,Италия,Монтепульчано,13,,,,,,1800,770
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2190,,770,Италия,Примитиво,"13,5",,,,,,1500,650
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2370,,870,Италия,Неро д'Авола,13,,,,,,1900,870
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2430,,900,Италия,Примитиво,14,,,,,,1900,850
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2430,,900,Италия,Ува Лонганези,"13,5",,,,,,1900,900
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2520,,950,Германия,Пино Нуар,"12,5",,,,,,2000,950
"Вино Кьянти Ризерва красное полусухое 0,75 л",2610,,1000,Италия,Санджовезе\Мерло,13,,,,,,2000,950
"Вино Баррелая красное полусухое 0,75 л",2610,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,2199,1000
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",2990,,1200,Италия,Монтепульчано,"13,5",,,,,,2299,1100
"Вино Неро ди Тройя красное полусухое 0,75 л",2990,,1200,Италия,Неро ди Троя,15,,,,,,2599,1200
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3170,,1300,Италия,Сузуманьелло,"14,5",,,,,,2799,1300
Вино ВайНот?! IGP красное полусухое,3370,,1400,Италия,Зинфандель,15,,,,,,2999,1400
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,14,,,,,,1800,850
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,,,,1400,580
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,500
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1630,,470,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1680,,500,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2170,,760,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Зимняя деревенька на солодовом спирте 0,5",1570,,440,,,,,,,,,1000,370
"Водка Тундра Аутентик 0,5",1600,,450,,,,,,,,,1000,390
"Водка Белая Березка 0,5",1600,,450,,,,,,,,,1100,430
"Водка Русский Стандарт Голд 0,5",1720,,520,,,,,,,,,1100,450
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2610,,1000,,,,,,,,,2199,1000
"Водка Белуга Нобл 0,5 л",3090,,1250,,,,,,,,,2199,1000
"Водка ЧИСТЫЕ РОСЫ ИЗ РЖАНОГО ЗЕРНА 40% 0,5Л",3090,,1250,,,,,,,,,2399,1100
"Водка Белуга Нобл 40% 0,5Л ",3170,,1300,,,,,,,,,2199,1000
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Тундра Аутентик 0,7",1750,,540,,,,,,,,,1200,450
"Водка Зимняя Деревенька на солодовом спирте  0,7",1880,,600,,,,,,,,,1300,490
"Водка Белая Березка  0,7",1880,,600,,,,,,,,,1400,590
"Водка Пять Озер 0,7",1950,,640,,,,,,,,,1200,460
"Водка Русский Стандарт  0,7",2060,,700,,,,,,,,,1899,850
"Водка Белуга Трансатлантик Рейсинг 0,7 л",4110,,1800,,,,,,,,,2799,1300
"Водка Суммум 0,7 л",4110,,1800,,,,,,,,,3799,1800
"Водка ЧИСТЫЕ РОСЫ 40% 0,7Л ",4210,,1860,,,,,,,,,3399,1600
"Водка Финляндия 0,7 л",4280,,1890,,,,,,,,,3899,1890
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Водка Зимняя Деревенька на солодовом спирте 1л,2300,,830,,,,,,,,,1400,580
Водка Русский Стандарт 1л,2430,,900,,,,,,,,,1999,840
Водка Белая Березка 1Л,2580,,980,,,,,,,,,1699,770
Водка Медведь 1 л,3030,,1220,,,,,,,,,1999,900
,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Виски Наки Томпсон 3 года купажированный 0,5",2300,,830,,,,,,,,,1699,780
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2680,,1030,,,,,,,,,1999,930
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2680,,1030,,,,,,,,,2199,950
"Виски бурбон ДЖИМ БИМ 4 ГОДА БЕЛ. ЭТИК. 40% 0,5Л ",,нет,нет,,,,,,,,,4099,1990
,,,,,,,,,,,,,
ВИСКИ 0.7л,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2410,,890,,,,,,,,,1400,670
"Виски Наки Томпсон 3 года купажированный 0,7",2860,,1130,,,,,,,,,2099,999
"Виски купажированный шотландский Сир Эдвардс 0,7 л",2990,,1200,,,,,,,,,2499,1200
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7",3240,,1340,,,,,,,,,2199,999
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3240,,1340,,,,,,,,,2399,1100
Виски ирланский Поугс оригинальный (черный) 0.7л,4480,"мало, бристоль",2000,,,,,,,,,4099,1900
"Виски шотландский купажированный БАЛЛАНТАЙНС ФАЙНЕСТ 40% 0,7Л",4590,,2060,,,,,,,,,3399,1650
"Виски (бурбон) Джим Бим 4 года зерновой 0,7  ",4940,,2250,,,,,,,,,4599,2250
"Виски ирландский купажированный ТАЛМОР ДЬЮ 40% 0,7Л",4990,"мало, бристоль",2270,,,,,,,,,4599,2400
Виски ирланский Поугс медовый (оранжевый) 0.7л,5350,"мало, бристоль",2470,,,,,,,,,4599,2200
"Виски Джемесон не менее 3 лет купажир. 0,7  ",6120,,2880,,,,,,,,,4399,2100
"Виски Джек Дениел`сТеннесси 0,7 ",6320,,2990,,,,,,,,,4099,1800
"Виски купажированный ХАТОЗАКИ 3 ГОДА 40% 0,7Л ",8430,"мало, бристоль",4120,,,,,,,,,5699,3400
"Виски Чивас Ригал 12 лет купажированный в п/к 0,7 л ",15670,,8000,,,,,,,,,5999,3800
"Виски шотландский ДЖОННИ УОКЕР ГОЛД ЛЕЙБЛ 40% П/УП. 0,7Л",18100,"мало, бристоль",9300,,,,,,,,,11399,8900
"Виски Макаллан Дабл Каск 12 лет п/к 0,7 л",24060,,12500,,,,,,,,,15799,12500
Виски ирланский Поугс фруктовая мята и лайм (красный) 0.7л,,нет,нет,,,,,,,,,4099,1900
"Виски Джонни Блонде 0,7 л",,нет,нет,,,,,,,,,2900,
"Виски Лафройг 10 лет 0,7 л",,нет,нет,,,,,,,,,8999,6300
,,,,,,,,,,,,,
ВИСКИ 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Виски Теннесси Джек Дениел`с 1 л,9150,,4500,,,,,,,,,4599,2200
Виски ирландский купажированный БУШМИЛЗ ОРИДЖИНАЛ 3 ГОДА 40% 1Л,,нет,нет,,,,,,,,,5799,3550
Виски ЧИВАС РИГАЛ 12 ЛЕТ 40% П/УП. 1Л,,нет,нет,,,,,,,,,8299,5800
,,,,,,,,,,,,,
"КОНЬЯК 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Коньяк ординарный Армянский Коньяк 5 лет 0,5 л",2080,,710,,,,,,,,,1200,570
Коньяк Армянский не менее 5 лет прозрачная бутылка,2060,,700,,,,,,,,,1200,460
"Коньяк Кочари 5 лет 0,5",2060,,700,,,,,,,,,1400,680
"Коньяк Фанагория 5 лет 0,5 л",2150,,750,,,,,,,,,1200,620
"Коньяк Старейшина 5 лет 0,5",2260,,810,,,,,,,,,1500,740
"Коньяк Армянский Кочари 7 лет подарочный п/к 0,5",2300,,830,,,,,,,,,1600,740
"Коньяк Ной Традиционный 5 лет 0,5",2680,,1030,,,,,,,,,1700,840
Коньяк Старейшина 7 лет 0.5,2680,,1030,,,,,,,,,1800,890
"Коньяк Лезгинка пятилетний 0,5",2710,,1050,,,,,,,,,1600,650
"Коньяк Армянский Арарат 5 лет п/к 0,5",3240,,1340,,,,,,,,,2799,1300
Бренди Торрес 10 лет Гран Резерва 0.5,3440,,1440,,,,,,,,,2999,1400
"Коньяк МАРТЕЛЬ ЭЙДЖД ИН РЕД БАРРЕЛС ВСОП 4 ГОДА 40% 0,5Л",8220,,4000,,,,,,,,,5699,3700
"Коньяк армянский старый КС ВАСПУРАКАН 15 ЛЕТ 40% П/УП. 0,5Л",9510,бристоль,4700,,,,,,,,,6599,4700
Коньяк А.де Фуссиньи ХО п/к 0.5,14740,"мало, бристоль",7500,,,,,,,,,6399,4800
,,,,,,,,,,,,,
"КОНЬЯК 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Коньяк ординарный РУЛЛЕ ВС 3 ГОДА 40% 0,7Л",3830,,1650,,,,,,,,,3499,1650
Коньяк Курвуазье ВС 0.7л,9780,,4840,,,,,,,,,6899,4300
"Коньяк ординарный МАРТЕЛЬ ВС 3 ГОДА 40% 0,7Л",10360,,5150,,,,,,,,,6499,4680
"Коньяк ординарный МАРТЕЛЬ ВС 3 ГОДА 40% 0,7Л",10360,,5150,,,,,,,,,6299,4350
"Коньяк Реми Мартан ВСОП 0,7 л",14210,"мало, бристоль",7210,,,,,,,,,8699,5800
"Коньяк ординарный ХЕННЕССИ ВСОП ПРИВИЛЕЖ 4 ГОДА 40% П/УП. 0,7Л",18040,бристоль,9270,,,,,,,,,10500,4900
"Коньяк КУРВУАЗЬЕ ХО 40% П/УП. 0,7Л",39920,мало,21000,,,,,,,,,21000,18050
"Коньяк РЕМИ МАРТАН ХО 40% П/УП. 0,7Л",41790,"очень мало, бристоль",22000,,,,,,,,,25000,22000
,,,,,,,,,,,,,
РОМ 0.5л,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ром Капитан Жан Лафитт дарк 0,5 л",1780,,550,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,5",2520,,950,,,,,,,,,1799,800
,,,,,,,,,,,,,
"РОМ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Ром Мама Джама Блэк выдержанный 0,7 л",2240,,800,,,,,,,,,,
"Ром Блэк Пирл Уайт 0,7 л",2610,"кб,бристоль",1000,,,,,,,,,1900,1150
"Ром Блэк Пирл Дарк 0,7 л",2890,,1150,,,,,,,,,2499,1150
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,7",3090,,1250,,,,,,,,,2199,1050
"Ром выдержанный Сангсом в п/к 0,7 л",3170,,1300,,,,,,,,,,
"Напиток на осн. рома КАПИТАН МОРГАН ПРЯНЫЙ ЗОЛОТОЙ 35% 0,7Л",3550,мало,1500,,,,,,,,,2700,1200
"Ром Барсело Аньехо 0,7Л ",3730,,1600,,,,,,,,,2599,1200
"Ром Matusalem Solera 7 лет, 0.7л",4860,"кб, метро",2200,,,,,,,,,,
Контрабандо 5 лет 0.7л,5040,,2300,,,,,,,,,3799,1670
"Ром выдержанный Гавана Клаб Аньехо 3 года белый 0,7 л ",5790,,2700,,,,,,,,,3799,1800
"Ром Закапа XO п/к 0,7 л",21280,,11000,,,,,,,,,13499,10600
"Ром выдержанный БАРСЕЛО ДОРАДО 37,5-40% 0,7Л",,нет,нет,,,,,,,,,2699,1350
,,,,,,,,,,,,,
ТЕКИЛА,новая цена,Наличие,New,,,,,,,,,цена ,закуп
"Текила ХОСЕ КУЭРВО ЗОЛОТАЯ ЭСПЕСИАЛЬ РЕПОСАДО 38% 0,5Л",5600,бристоль,2600,,,,,,,,,2900,2000
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА РЕПОСАДО 40% 0,75Л",6520,бристоль,3090,,,,,,,,,4000,2000
"Спиртной напиток ТЕКИЛА АСИЕНДА ВЬЕХА БЛАНКО 40% 0,75Л",6520,бристоль,3090,,,,,,,,,4000,2050
"Текила Эсполон Бланко 0,75 л",6660,,3170,,,,,,,,,3600,2600
"Текила Эсполон Репосадо 0,75 л",6660,,3170,,,,,,,,,3700,2700
"Текила САУЗА АСЬЕНДА СИЛЬВЕР 38% 0,7Л",,нет,нет,,,,,,,,,3500,2700
"Текила САУЗА АСЬЕНДА ГОЛД 38% 0,7Л",,нет,нет,,,,,,,,,3500,2680
"Спиртной напиток ТЕКИЛА СИЕРРА РЕПОСАДО 38% 0,7Л",,нет,нет,,,,,,,,,2900,1690
,,,,,,,,,,,,,
ДЖИН,новая цена,Наличие,New,,,,,,,,,цена,закуп
"Джин БРИСТОЛЛС 40% 0,5Л",2000,бристоль,670,,,,,,,,,1300,550
"Джин БРИСТОЛЛС 40% 0,7Л",2190,бристоль,770,,,,,,,,,1600,700
"Джин ГИБСОН'С ЛОНДОН ДРАЙ 37,5% 0,7Л",3060,бристоль,1240,,,,,,,,,1900,950
"Джин ГИБСОН'С ЛОНДОН ДРАЙ 37,5% 0,7Л",3240,бристоль,1340,,,,,,,,,1400,950
