Нижний Новгород,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Айси Цинандали белое сухое 0,75 л",1600,,450,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,,,,,,,,,,,1100,,390
"Вино Цинандали Алаверди белое сухое 0,75 л",1680,,500,Грузия,Ркацители\Мцване Кахури,12,,,,,,,,,,,,,,,,1400,,450
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1810,,570,Чили,Совиньон Блан/Москатель,"12,5",,,,,,,,,,,,,,,,1500,,470
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое 0,75 л",1850,,590,Чили,Совиньон Блан,13,,,,,,,,,,,,,,,,1600,,580
Вино Бродлиф Совиньон Блан белое сухое,1920,,630,ЮАР,Совиньон Блан,"12,5",,,,,,,,,,,,,,,,1500,,550
"Вино Куумба Шардоне белое сухое 0,75 л",1960,,650,ЮАР,Шардоне,13,,,,,,,,,,,,,,,,1200,,400
"Вино жемчужное Кашу Фрешку белое сухое 0,75 л",1960,,650,Португалия,Фернау Пирес,"11,5",,,,,,,,,,,,,,,,1600,,650
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",1980,МАЛО,660,ЮАР,Шардоне,"12,5",,,,,,,,,,,,,,,,1700,,660
"Вино П.В.С.& Б Стеларис Пино Гриджио белое сухое 0,75 л",2000,,670,ЮАР,Пино Гриджио,13,,,,,,,,,,,,,,,,1600,,650
Вино Тенуте Дель Неччио Орвието Классико Умбрия DOC белое сухое,2030,,690,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,,,,,,,,,,,1600,,620
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",2030,МАЛО,690,Испания,Вердехо,"12,5",,,,,,,,,,,,,,,,1700,,660
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2230,МАЛО,790,Италия,Пино Гриджио,"12,5",,,,,,,,,,,,,,,,1600,,680
"Вино Адега Май Дори белое сухое 0,75 л",2240,,800,Португалия,Виозиньо\Аринту\Альвариньо\Совиньон Блан,"12,5",,,,,,,,,,,,,,,,1800,,700
"Вино Универсале белое полусухое 0,75 л",2340,,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,,,,,,,,,,,1900,,850
