Новосибирск,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Айси Цинандали белое сухое 0,75 л",1670,,490,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1200,400
"Вино Цинандали Алаверди белое сухое 0,75 л",1740,,530,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1100,470
"Вино Куумба Шардоне белое сухое 0,75 л",1880,,600,ЮАР,Шардоне,13,,,,,,1200,400
Вино Бродлиф Совиньон Блан белое сухое,1960,,650,ЮАР,Совиньон Блан,"12,5",,,,,,1500,550
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",2000,,670,Чили,Совиньон Блан\Москатель,"12,5",,,,,,1600,670
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",2000,,670,ЮАР,Шардоне,"12,5",,,,,,1700,650
Вино Тенуте Дель Неччио Орвието Классико Умбрия DOC белое сухое,2060,,700,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,1600,660
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2300,,830,Италия,Пино Гриджио,"12,5",,,,,,1600,670
"Вино Универсале белое полусухое 0,75 л",2340,,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,1800,830
"Вино Н Нивариус белое сухое 0,75 л",2430,,900,Испания,Темпранильо Бланко,"13,5",,,,,,1900,900
Вино Маркес Де Касерес Бланко белое сухое 0.75,2600,,990,Испания,Виура/Макабео,12.5,,,,,,1900,950
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2680,,1030,Франция,Совиньон Блан,"11,5",,,,,,2000,1000
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3550,,1500,Испания,Альбариньо,"13,5",,,,,,2500,1500
Вино Трамонтана Сицилия белое сухое,,нет,490,Италия,Треббьяно,11,,,,,,1000,370
"Вино Умбрия Блан Иль де Боте Казанова белое сухое 0,75 л",,нет,нет,Франция,Верментино/Шардоне,12,,,,,,1700,680
Вино Санта Лус Альба Совиньон Блан Центральная долина белое сухое,,нет,нет,Чили,Совиньон Блан,12,,,,,,1600,650
"Вино Маркези Спинола Гави Биолоджико DOCG белое сухое 0,75 л",,нет,нет,Италия,Кортезе,"12,5",,,,,,2500,1490
"Вино Ошторошбор Иршаи Оливер белое сухое 0,75 л",,нет,нет,Венгрия,Иршаи Оливер,11.5,,,,,,1400,500
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Tabla Алазанская Долина белое полусладкое 0,75 л",1680,,500,Грузия,Ркацители\Цоликоури,"11,5",,,,,,1400,360
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1680,,500,Грузия,Ркацители\Кахури Мцване,13,,,,,,1200,400
"Вино Бадагони Алазанская Долина белое полусладкое 0,75 л",1720,,520,Грузия,Ркацители,"10,5",,,,,,1399,490
"Вино Энгельшайн Либлих белое полусладкое 0,75 л",1920,,630,Германия,Айрен\Треббьяно\Макабео,"9,5",,,,,,1500,600
"Вино Блэк Бёрд Вестерн Кейп Во белое полусладкое 0,75 л",1960,,650,ЮАР,Шенен Блан,"11,5",,,,,,1600,650
"Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое 0,75 л",2060,,700,Италия,Маливазия,9,,,,,,1500,640
Вино Лизард Рислинг бел.п/сл,2300,,830,Германия,Рислинг,11,,,,,,1600,820
Вино Маркес Де Касерес Сантинела Риоха DOC белое полусладкое,2610,,1000,Испания,"Мальвазия, Виура/Макабео",11.5,,,,,,1900,1000
Вино Трамонтана Сицилия белое полусладкое,,нет,490,Италия,Треббьяно,"10,5",,,,,,1000,390
Вино Санта Лус Альба Москато Центральная долина белое полусладкое,,нет,нет,Чили,Москато,12,,,,,,1600,750
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Терра де Оро Шардоне белое полусухое 0,75 л",1670,,490,Чили,Шардоне,13,,,,,,1500,470
"Вино Вилла Анна Пино Гриджио белое полусухое 0,75 л",1880,,600,Италия,Пино Гриджио,12,,,,,,1500,590
Вино Маре Альта Винью Верде DOC белое полусухое,2090,,720,Португалия,"Аринто/Падерна, Лоурейро",10,,,,,,1600,670
Вино Лизард Рислинг Трокен белое полусухое,2300,,830,Германия,Рислинг,12,,,,,,1700,790
"Вино Вейнцунфт Рислинг Мозель белое полусухое 0,75 л",2300,,830,Германия,Рислинг,12,,,,,,1700,790
"Вино Примо Фиоре Фамозо белое полусухое 0,75 л",2480,,930,Италия,Фамозо,"12,5",,,,,,1900,930
"Вино Зибенштейн Рислинг Пфальц белое полусухое 0,75 л",2570,,970,Германия,Рислинг,12,,,,,,1900,970
"Вино Зибенштейн Совиньон Блан Пфальц белое полусухое 0,75 л",2570,,970,Германия,Совиньон Блан,"12,5",,,,,,1900,970
Вино Макуту Бей Совиньон Блан белое полусухое ,2890,,1150,Новая Зеландия,Совиньон Блан,12,,,,,,2100,1100
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",1680,,500,Испания,Бобаль,12,,,,,,1500,500
"Вино жемчужное Кашу Фрешку розовое сухое 0,75 л",1890,,610,Португалия,Арагонеш\Каштелау,"11,5",,,,,,1600,610
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",1960,,650,ЮАР,Совиньон Блан\Пино Нуар,"12,5",,,,,,1700,670
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",2240,,800,Италия,Санджовезе\Мерло,"12,5",,,,,,1900,770
,,,,,,,,,,,,,
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1960,,650,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,1600,590
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2090,,720,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,1700,670
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2340,,850,Италия,Примитиво/Мерло,"12,5",,,,,,1900,770
,,,,,,,,,,,,,
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Саперави красное сухое 0,75 л",1260,,270,Россия,Саперави,11,,,,,,1200,250
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1740,,530,Испания,Темпранильо,11,,,,,,1300,490
"Вино Терраш де Монсараш красное сухое 0,75 л",1960,,650,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1700,650
"Вино Сол де Плата Мальбек красное сухое 0,75 л",2000,,670,Аргентина,Мальбек,"13,5",,,,,,1500,650
"Вино Саперави Бадагони красное сухое 0,75 л",2080,,710,Грузия,Саперави,13,,,,,,1400,590
"Вино Марселино Риоха красное сухое 0,75 л",2230,,790,Испания,Темпранильо,"13,5",,,,,,1600,650
"Вино Терраш де Монсараш красное сухое 0,75 л",2190,,770,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1800,770
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2240,,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,1700,700
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2240,,800,Испания,Бобаль\Гарнача,"12,5",,,,,,1800,800
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2240,,800,Испания,Темпранильо,"12,5",,,,,,1900,800
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2410,,890,Испания,Темпранильо,"13,5",,,,,,2000,870
"Вино Бариста Пинотаж красное сухое 0,75 л",2610,,1000,ЮАР,Пинотаж,13,,,,,,2100,1000
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3240,,1340,Испания,Темпранильо,"13,5",,,,,,2300,1300
Вино Маркес Де Касерес Крианса красное сухое 0.75,3310,,1370,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,2500,1350
"Вино Патриа Чика красное сухое 0,75 л",3440,,1440,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,2500,1400
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,,,,1800,630
Вино Трамонтана Апулия красное сухое,,нет,490,Италия,Санджовезе,11,,,,,,1000,400
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,2200,1750
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,"12,5",,,,,,1700,670
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1600,,450,ЮАР,Пинотаж,"13,5",,,,,,1500,450
"Вино Кахури Гвинис Марани Алазанская Долина белое полусладкое 0,75 л",1630,,470,Грузия,Ркацители,12,,,,,,1300,420
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,1400,450
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1670,,490,Грузия,Саперави,11,,,,,,1400,400
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",1680,,500,Грузия,Саперави,"11,5",,,,,,1500,500
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1780,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,1600,550
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1780,,550,Грузия,Саперави,12,,,,,,1700,450
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1890,,610,Грузия,Саперави,12,,,,,,1700,590
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2120,,730,Грузия,Саперави,12,,,,,,1900,630
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2320,,840,Грузия,Саперави,11,,,,,,2000,690
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,,,,2100,1000
Вино Трамонтана Апулия красное полусладкое,,нет,490,Италия,Санджовезе,"10,5",,,,,,1000,450
,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1680,,500,Грузия,Саперави,"11,5",,,,,,1100,500
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2150,,750,Италия,Примитиво\Негроамаро,15,,,,,,1700,730
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2190,,770,Италия,Негроамаро,13,,,,,,1500,700
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2190,,770,Италия,Монтепульчано,13,,,,,,1600,730
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2240,,800,Италия,Примитиво,"13,5",,,,,,1500,650
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2340,,850,Италия,Монтепульчано,13,,,,,,1800,770
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2410,,890,Италия,Неро д'Авола,13,,,,,,1900,870
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2480,,930,Италия,Примитиво,14,,,,,,1900,850
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2480,,930,Италия,Ува Лонганези,"13,5",,,,,,1900,900
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2570,,970,Германия,Пино Нуар,"12,5",,,,,,2000,950
"Вино Баррелая красное полусухое 0,75 л",2610,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,2100,1000
"Вино Кьянти Ризерва красное полусухое 0,75 л",2680,,1030,Италия,Санджовезе\Мерло,13,,,,,,2000,950
"Вино Неро ди Тройя красное полусухое 0,75 л",3170,,1300,Италия,Неро ди Троя,15,,,,,,2200,1200
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3230,,1330,Италия,Монтепульчано,"13,5",,,,,,2200,1100
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3230,,1330,Италия,Сузуманьелло,"14,5",,,,,,2300,1300
Вино ВайНот?! IGP красное полусухое,3650,,1550,Италия,Зинфандель,15,,,,,,2500,1400
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,14,,,,,,1800,850
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,,,,1400,570
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,500
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1600,,450,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1680,,500,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2230,,790,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка ТАЛКА 40% 0,5Л",1470,,390,,,,,,,,,,
"Водка Старлей 0,5 л",1500,,400,,,,,,,,,,
"Водка Зимняя деревенька на солодовом спирте 0,5",1570,,440,,,,,,,,,1100,360
"Водка Тундра Аутентик 0,5",1600,,450,,,,,,,,,1000,390
"Водка Белая Березка 0,5",1600,,450,,,,,,,,,1100,430
"Водка ХАСКИ АРКТИК АЙС 40% 0,5Л",1630,,470,,,,,,,,,,
"Водка Русский Стандарт Голд 0,5",1720,,520,,,,,,,,,1100,440
"Водка Столичная 0,5 л",2240,,800,,,,,,,,,,
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2570,,970,,,,,,,,,1800,1000
"Водка Белуга Нобл 0,5 л",3090,,1250,,,,,,,,,2200,1000
"Водка Чистые росы 0,5",,нет,нет,,,,,,,,,2400,1200
"Водка Белый чай имбирь 0,5 л",,нет,нет,,,,,,,,,1600,750
"Водка АБСОЛЮТ 40% 0,5Л",,нет,нет,,,,,,,,,2600,1200
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Тундра Аутентик 0,7",1750,,540,,,,,,,,,1200,450
"Водка Зимняя Деревенька на солодовом спирте  0,7",1880,,600,,,,,,,,,1200,490
"Водка Белая Березка  0,7",1880,,600,,,,,,,,,1300,590
"Водка Пять Озер 0,7",1950,,640,,,,,,,,,1200,460
"Водка Русский Стандарт  0,7",2060,,700,,,,,,,,,1400,630
"Водка Дикий мед классика туба 0,7 л",2060,,700,,,,,,,,,1400,650
"Водка Белуга Транслантик 0,7Л ",3920,,1700,,,,,,,,,2800,1300
"Водка Суммум 0,7 л",4110,,1800,,,,,,,,,3000,1500
"Водка АБСОЛЮТ 40% 0,7Л ",4180,бристоль,1840,,,,,,,,,2900,1500
"Водка Чистые росы 0,7 ",4210,,1860,,,,,,,,,2600,1400
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Водка Русский Стандарт 1л,2430,,900,,,,,,,,,1600,840
Водка Белая Березка 1Л,2580,,980,,,,,,,,,1500,770
Водка Медведь 1 л,2810,,1100,,,,,,,,,1700,900
Водка Зимняя Деревенька на солодовом спирте 1л,,нет,нет,,,,,,,,,1400,580
,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Виски Наки Томпсон 3 года купажированный 0,5",2300,,830,,,,,,,,,1400,790
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2680,,1030,,,,,,,,,1600,900
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2710,,1050,,,,,,,,,2000,1050
,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",1960,,650,,,,,,,,,1200,640
"Виски Наки Томпсон 3 года купажированный 0,7",2970,,1190,,,,,,,,,1800,1190
"Виски купажированный шотландский Сир Эдвардс 0,7 л",2990,,1200,,,,,,,,,1800,900
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7",3240,,1340,,,,,,,,,1900,890
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",4660,,2100,,,,,,,,,2400,2100
"Виски (бурбон) Джим Бим 4 года зерновой 0,7 ",4660,,2100,,,,,,,,,3100,2100
"Виски Джек Дениел`сТеннесси 0,7 ",5030,,2290,,,,,,,,,3700,1850
Виски ирланский Поугс медовый (оранжевый) 0.7л,5230,,2400,,,,,,,,,3200,2400
"Виски Джемесон не менее 3 лет купажир. 0,7",5970,,2800,,,,,,,,,3500,2050
Виски шотландский купажированный ДЖОННИ УОКЕР РЭД ЛЕЙБЛ 40% 1Л,7280,,3500,,,,,,,,,3100,2700
"Виски купажированный ХАТОЗАКИ 3 ГОДА 40% 0,7Л",8220,бристоль,4000,,,,,,,,,4000,3000
"Виски Джонни Уокер Голд Лейбл п/к 0,7 л",17540,бристоль,9000,,,,,,,,,10500,6500
"Виски Чивас Ригал 18 лет в п/к 0,7 л ",20520,,10600,,,,,,,,,12000,6999
"Виски шотландский солодовый КАППЕР ДОГ 40% 0,7Л",,нет,4500,,,,,,,,,4500,3300
"Виски бурбон ДЖИМ БИМ 4 ГОДА БЕЛ. ЭТИК. 40% 0,5Л ",,нет,нет,,,,,,,,,2800,2250
Виски ирланский Поугс оригинальный (черный) 0.7л,,нет,нет,,,,,,,,,2900,1990
Виски ирланский Поугс фруктовая мята и лайм (красный) 0.7л,,нет,нет,,,,,,,,,3000,1900
"Виски шотландский МАКАЛЛАН ДАБЛ КАСК ГОЛД 3 ГОДА П/УП. 0,7Л ",,нет,нет,,,,,,,,,13000,10200
,,,,,,,,,,,,,
ВИСКИ 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Виски Баллантайс Файнест не менее 3 лет 1 л,5040,,2300,,,,,,,,,3900,2200
Виски Теннесси Джек Дениел`с 1 л,9150,,4500,,,,,,,,,4500,2500
Виски БУШМИЛЗ ОРИДЖИНАЛ 3 ГОДА 40% 1Л,,нет,нет,,,,,,,,,4100,3200
Виски Чивас Ригал 12 лет купажированный в п/к 1л,,нет,нет,,,,,,,,,6200,4000
Виски шотландский БЭЛЛС ОРИДЖИНАЛ 40% 1Л,,нет,нет,,,,,,,,,2800,2100
,,,,,,,,,,,,,
"КОНЬЯК 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Коньяк ординарный Армянский Коньяк 5 лет 0,5 л",2060,,700,,,,,,,,,1100,550
"Коньяк Кочари 5 лет 0,5",2060,,700,,,,,,,,,1300,650
"Коньяк Фанагория 5 лет 0,5 л",2150,,750,,,,,,,,,1300,620
"Коньяк Старейшина 5 лет 0,5",2200,,780,,,,,,,,,1400,730
"Коньяк Армянский Кочари 7 лет подарочный п/к 0,5",2300,,830,,,,,,,,,1600,750
"Коньяк Ной Традиционный 5 лет 0,5",2610,,1000,,,,,,,,,1700,850
Коньяк Старейшина 7 лет 0.5,2610,,1000,,,,,,,,,1800,760
"Коньяк Армянский Арарат 5 лет п/к 0,5",3170,,1300,,,,,,,,,1900,1200
Бренди Торрес 10 лет Гран Резерва 0.5,3370,,1400,,,,,,,,,2200,950
Коньяк Курвуазье VS п/к 0.5 ,10080,,5000,,,,,,,,,5100,3600
Коньяк А.де Фуссиньи ХО п/к 0.5 ,15670,,8000,,,,,,,,,7000,8000
"Коньяк МАРТЕЛЬ ЭЙДЖД ИН РЕД БАРРЕЛС ВСОП 4 ГОДА 40% 0,5Л",,нет,нет,,,,,,,,,5700,4500
,,,,,,,,,,,,,
"КОНЬЯК 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Коньяк ординарный МАРТЕЛЬ ВС 3 ГОДА 40% 0,7Л",10080,,5000,,,,,,,,,6600,4050
"Коньяк ординарный Курвуазье ВС 40% 0,7Л ",11940,,6000,,,,,,,,,6300,4000
