ОМСК,,,,,,,,,,,,,закуп
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,400
"Вино Айси Цинандали белое сухое 0,75 л",1500,,400,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1100,390
"Вино Цинандали Алаверди белое сухое 0,75 л",1740,,530,Грузия,Ркацители\Мцване Кахури,12,,,,,,1300,570
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1850,,590,Чили,Совиньон Блан/Москатель,"12,5",,,,,,1600,590
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое 0,75 л",1850,,590,Чили,Совиньон Блан,13,,,,,,1600,600
"Вино Эль Ниньо и Ла Луна Бланко белое сухое 0,75 л",1880,,600,Испания,Совиньон БланМакабео,"11,5",,,,,,1600,480
"Вино Куумба Шардоне белое сухое 0,75 л",1880,,600,ЮАР,Шардоне,13,,,,,,1200,600
Вино Бродлиф Совиньон Блан белое сухое,1960,,650,ЮАР,Совиньон Блан,"12,5",,,,,,1500,630
"Вино жемчужное Кашу Фрешку белое сухое 0,75 л",2000,,670,Португалия,Фернау Пирес,"11,5",,,,,,1600,670
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",2000,,670,ЮАР,Шардоне,"12,5",,,,,,1700,690
"Вино П.В.С.& Б Стеларис Пино Гриджио белое сухое 0,75 л",2030,,690,ЮАР,Пино Гриджио,13,,,,,,1600,690
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",2060,,700,Испания,Вердехо,"12,5",,,,,,1700,630
Вино Тенуте Дель Неччио Орвието Классико Умбрия DOC белое сухое,2120,,730,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,1600,800
"Вино Адега Май Дори белое сухое 0,75 л",2240,,800,Португалия,Виозиньо\Аринту\Альвариньо\Совиньон Блан,"12,5",,,,,,1800,700
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2300,,830,Италия,Пино Гриджио,"12,5",,,,,,1600,900
"Вино Н Нивариус белое сухое 0,75 л",2430,,900,Испания,Темпранильо Бланко,"13,5",,,,,,1900,970
Вино Маркес Де Касерес Бланко белое сухое 0.75,2600,,990,Испания,Виура/Макабео,12,,,,,,2000,1030
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2680,,1030,Франция,Совиньон Блан,"11,5",,,,,,2100,1350
"Вино Пино Гриджио Делле Венецие Арнази белое сухое 0,75 л",3270,,1350,Италия,Пино Гриджио,"12,5",,,,,,2400,1500
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3550,,1500,Испания,Альбариньо,"13,5",,,,,,2500,470
Вино Трамонтана Сицилия белое сухое,,нет,490,Италия,Треббьяно,11,,,,,,1000,490
"Вино Ошторошбор Иршаи Оливер белое сухое 0,75 л",,нет,нет,Венгрия,Иршаи Оливер,"11,5",,,,,,1600,530
"Вино Кинта Дель Дуке Бланко белое сухое 0,75 л",,нет,нет,Испания,Айрен,11,,,,,,1500,1500
"Вино Маркези Спинола Гави Биолоджико DOCG белое сухое 0,75 л",,нет,нет,Италия,Кортезе,"12,5",,,,,,2500,
,,,,,,,,,,,,,закуп
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,390
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1680,,500,Грузия,Ркацители\Кахури Мцване,13,,,,,,1400,550
"Вино Рио Рика Москато белое полусладкое 0,75 л",1780,,550,Чили,Москато,12,,,,,,1500,490
"Виное полусладкое 0,75 л",1810,,570,Грузия,Ркацители,"10,5",,,,,,1399,600
"Вино Энгельшайн Либлих белое полусладкое 0,75 л",1980,,660,Германия,Айрен\Треббьяно\Макабео,"9,5",,,,,,1600,650
"Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое 0,75 л",2120,,730,Италия,Мальвазия,9,,,,,,1500,700
"Вино Молоко Любимой Женщины белое полусладкое 0,75 л",2120,,730,Германия,Мюллер-Тургау\Рислинг\Сильванер\Кёрнер,"9,5",,,,,,1700,830
Вино Лизард Рислинг бел.п/сл,2300,,830,Германия,Рислинг,11,,,,,,1800,1000
Вино Маркес Де Касерес Сантинела Риоха DOC белое полусладкое,2610,,1000,Испания,"Мальвазия, Виура/Макабео",11.5,,,,,,2000,350
Вино Трамонтана Сицилия белое полусладкое,,нет,490,Италия,Треббьяно,"10,5",,,,,,1000,400
"Вино Tabla Алазанская Долина белое полусладкое 0,75 л",,нет,нет,Грузия,Ркацители\Цоликоури,"11,5",,,,,,1400,
,,,,,,,,,,,,,закуп
ВИНО БЕЛОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,500
"Вино Терра де Оро Шардоне белое полусухое 0,75 л",1680,,500,Чили,Шардоне,13,,,,,,1500,570
"Вино Вилла Анна Пино Гриджио белое полусухое 0,75 л",1960,,650,Италия,Пино Гриджио,12,,,,,,1500,670
Вино Маре Альта Винью Верде DOC белое полусухое,2120,,730,Португалия,"Аринто/Падерна, Лоурейро",10,,,,,,1600,730
"Вино Т'Аспетто Пекорино Терре ди Кьети белое полусухое 0,75 л",2120,мало,730,Италия,Пекорино,12,,,,,,1799,830
Вино Лизард Рислинг Трокен белое полусухое,2300,,830,Германия,Рислинг,12,,,,,,1700,790
"Вино Вейнцунфт Рислинг Мозель белое полусухое 0,75 л",2340,,850,Германия,Рислинг,12,,,,,,1799,930
"Вино Примо Фиоре Фамозо белое полусухое 0,75 л",2480,,930,Италия,Фамозо,"12,5",,,,,,1900,970
"Вино Зибенштейн Совиньон Блан Пфальц белое полусухое 0,75 л",2570,,970,Германия,Совиньон Блан,"12,5",,,,,,1900,970
"Вино Зибенштейн Рислинг Пфальц белое полусухое 0,75 л",2600,,990,Германия,Рислинг,12,,,,,,1900,1030
Вино Макуту Бей Совиньон Блан белое полусухое ,2890,,1150,Новая Зеландия,Совиньон Блан,12,,,,,,2100,
,,,,,,,,,,,,,закуп
ВИНО РОЗОВОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,600
"Вино Бродлиф Совиньон Блан розовое сухое 0,75 л",1960,,650,ЮАР,Совиньон Блан\Пино Нуар,"12,5",,,,,,1700,830
"Вино Розато Тоскана Тенуте Россетти розовое сухое 0,75 л",2300,,830,Италия,Санджовезе\Мерло,"12,5",,,,,,1900,500
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое 0,75 л",,нет,нет,Испания,Бобаль,12,,,,,,1500,550
"Вино жемчужное Кашу Фрешку розовое сухое 0,75 л",,нет,нет,Португалия,Арагонеш\Каштелау,"11,5",,,,,,1600,
,,,,,,,,,,,,,закуп
ВИНО РОЗОВОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,
"Вино Бриза ду Мар Винью Верде DOC розовое полусухое 0,75 л",1960,,650,Португалия,Виньяу\Амарал\Боррасал,10,,,,,,1600,670
"Вино Маре Альта Винью Верде розовое полусухое 0,75 л",2120,,730,Португалия,Виньаон\Боррасал\Эшпадейро,10,,,,,,1700,770
"Вино Галеоне Примитиво Мерло Розе Апулия розовое полусухое 0,75 л",2370,,870,Италия,Примитиво/Мерло,"12,5",,,,,,1900,
,,,,,,,,,,,,,закуп
ВИНО КРАСНОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,270
"Вино Саперави красное сухое 0,75 л",1270,,280,Россия,Саперави,11,,,,,,1200,420
"Вино Кинта дель Дуке Виньо Тинто красное сухое 0,75 л",1740,,530,Испания,Темпранильо,11,,,,,,1300,650
"Вино Терраш де Монсараш красное сухое 0,75 л",1960,,650,Португалия,Тринкадейра\Арагонеш\Кастелао,"13,5",,,,,,1700,600
"Вино Сол де Плата Мальбек красное сухое 0,75 л",2000,,670,Аргентина,Мальбек,"13,5",,,,,,1500,690
"Вино Марселино Риоха красное сухое 0,75 л",2030,,690,Испания,Темпранильо,"13,5",,,,,,1600,640
"Вино Саперави Бадагони красное сухое 0,75 л",2090,,720,Грузия,Саперави,13,,,,,,1400,790
"Вино Марселино Риоха Крианза красное сухое 0,75 л",2230,,790,Испания,Темпранильо,"12,5",,,,,,1900,790
"Вино Тенуте Дель Неччио Кьянти красное сухое 0,75 л",2240,,800,Италия,"Санджовезе, Мальвазия Нера, Чильеджоло",13,,,,,,1700,800
"Вино Ультимо Бастион Бобаль Гарнача Крианца красное сухое 0,75 л",2240,,800,Испания,Бобаль\Гарнача,"12,5",,,,,,1800,890
"Вино Марселино Ресерва Риоха ДОКа красное сухое 0,75 л",2410,,890,Испания,Темпранильо,"13,5",,,,,,2000,970
"Вино Бариста Пинотаж красное сухое 0,75 л",2610,,1000,ЮАР,Пинотаж,13,,,,,,2100,1350
"Вино Сеньорио Де Ла Ералта Гран Резерва красное сухое 0,75 л",3270,,1350,Испания,Темпранильо,"13,5",,,,,,2300,1370
Вино Маркес Де Касерес Крианса красное сухое 0.75,3310,,1370,Испания,Темпранильо/Гарнача/Грасиано,14,,,,,,2500,1450
"Вино Патриа Чика красное сухое 0,75 л",3450,,1450,Испания,Темпранильо\Гарнача\Мерло\Каберне Совиньон,"14,5",,,,,,2500,700
Вино Трамонтана Апулия красное сухое,,нет,490,Италия,Санджовезе,11,,,,,,1000,530
"Вино Мирла Бэй Пино Нуар красное сухое 0,75 л",,нет,нет,Чили,Пино Нуар,"12,5",,,,,,1700,790
"Вино Тенуте Дель Неччио Кьянти Ризерва красное сухое 0,75 л",,нет,нет,Италия,Санджовезе,"12,5",,,,,,1800,нет в наличии
"Вино Бардолино Валлезелле Пьеве Сан Вито красное сухое 0,75 л",,нет,нет,Италия,Корвина\Рондинелла\Молинара\Неграра,13,,,,,,2200,
,,,,,,,,,,,,,закуп
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,470
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1630,,470,ЮАР,Пинотаж,"13,5",,,,,,1500,420
"Вино Кахури Гвинис Марани Алазанская Долина белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители,12,,,,,,1300,400
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л !",1750,,540,Грузия,Саперави,12,,,,,,1700,550
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1780,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,1600,550
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1780,,550,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,1400,550
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1780,,550,Грузия,Саперави,11,,,,,,1400,550
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1890,,610,Грузия,Саперави,12,,,,,,1700,650
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2120,,730,Грузия,Саперави,12,,,,,,1900,750
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2370,,870,Грузия,Саперави,11,,,,,,2000,750
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,,,,2100,500
Вино Трамонтана Апулия красное полусладкое,,нет,490,Италия,Санджовезе,"10,5",,,,,,1000,390
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,нет,нет,Грузия,Саперави,"11,5",,,,,,1500,
,,,,,,,,,,,,,закуп
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,430
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1600,,450,Грузия,Саперави,"11,5",,,,,,1100,670
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2000,,670,Италия,Монтепульчано,13,,,,,,1600,750
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2150,,750,Италия,Примитиво\Негроамаро,15,,,,,,1700,670
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2190,,770,Италия,Негроамаро,13,,,,,,1500,730
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2240,,800,Италия,Примитиво,"13,5",,,,,,1500,890
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2410,,890,Италия,Неро д'Авола,13,,,,,,1900,790
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2430,,900,Италия,Монтепульчано,13,,,,,,1800,870
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2480,,930,Италия,Примитиво,14,,,,,,1900,930
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2480,,930,Италия,Ува Лонганези,"13,5",,,,,,1900,970
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2570,,970,Германия,Пино Нуар,"12,5",,,,,,2000,1000
"Вино Баррелая красное полусухое 0,75 л",2610,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,2100,970
"Вино Кьянти Ризерва красное полусухое 0,75 л",2750,,1070,Италия,Санджовезе\Мерло,13,,,,,,2000,1150
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3090,,1250,Италия,Монтепульчано,"13,5",,,,,,2200,1300
"Вино Неро ди Тройя красное полусухое 0,75 л",3170,,1300,Италия,Неро ди Троя,15,,,,,,2200,1330
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3230,,1330,Италия,Сузуманьелло,"14,5",,,,,,2300,1500
Вино ВайНот?! IGP красное полусухое,3550,,1500,Италия,Зинфандель,15,,,,,,2500,880
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,14,,,,,,1800,нет в наличии
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,,,,1400,нет в наличии
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1670,,490,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1750,,540,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2190,,770,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,340
"Водка Зимняя деревенька на солодовом спирте 0,5",1550,бристоль,430,,,,,,,,,1100,379
"Водка ТАЛКА 40% 0,5Л",1500,,400,,,,,,,,,1299,390
"Водка Тундра Аутентик 0,5",1570,,440,,,,,,,,,1100,380
"Водка ХАСКИ АРКТИК АЙС 40% 0,5Л",1630,,470,,,,,,,,,1349,450
"Водка Русский Стандарт Голд 0,5",1680,,500,,,,,,,,,1200,430
"Водка Белая Березка 0,5",1780,,550,,,,,,,,,1200,490
