САМАРА,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Вино Айси Цинандали белое сухое 0,75 л",1630,,470,Грузия,Ркацители\Мцване Кахури,,,410,,,,,,,,,,,1100,,,,,,,,,,,,,
"Вино Тенглд Три Пино Гриджио белое сухое 0,75 л",2220,,490,ЮАР,Пино Гриджио,,,570,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Цинандали Алаверди белое сухое 0,75 л",1680,,500,Грузия,Ркацители\Мцване Кахури,,,470,,,,,,,,,,,1300,,,,,,,,,,,,,
"Вино Куумба Шардоне белое сухое 0,75 л",1810,,570,ЮАР,Шардоне,,,470,,,,,,,,,,,1200,,,,,,,,,,,,,
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1920,,570,Чили,Совиньон Блан/Москатель,,,550,,,,,,,,,,,1500,,,,,,,,,,,,,
"Вино Эль Ниньо и Ла Луна Бланко белое сухое 0,75 л",2060,,570,Испания,Совиньон БланМакабео,,,570,,,,,,,,,,,1600,,,,,,,,,,,,,
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое 0,75 л",2060,,590,Чили,Совиньон Блан,,,590,,,,,,,,,,,1600,,,,,,,,,,,,,
"Вино Н Нивариус белое сухое 0,75 л",2470,,600,Испания,Темпранильо Бланко,,,900,,,,,,,,,,,1900,,,,,,,,,,,,,
Вино Бродлиф Совиньон Блан белое сухое,1920,,630,ЮАР,Совиньон Блан,,,590,,,,,,,,,,,1500,,,,,,,,,,,,,
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",2180,,650,ЮАР,Шардоне,,,650,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино П.В.С.& Б Стеларис Пино Гриджио белое сухое 0,75 л",2040,,670,ЮАР,Пино Гриджио,,,670,,,,,,,,,,,1600,,,,,,,,,,,,,
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",2170,,690,Испания,Вердехо,,,670,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Тенуте Дель Неччио Орвието Классико белое сухое 0,75 л",2090,,720,Италия,"Грекетто, Проканико, Шардоне",,,620,,,,,,,,,,,1600,,,,,,,,,,,,,
