СОЧИ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,закуп,,,
ВИНО БЕЛОЕ СУХОЕ,,,,,,,,,,,,,,,
"Вино Айси Цинандали белое сухое 0,75 л",1720,,520,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,390,,,
"Вино Цинандали Алаверди белое сухое 0,75 л",1740,,530,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,450,,,
"Вино Цинандали Алаверди белое сухое 0,75 л",1740,,530,Грузия,Ркацител,12,,,,,,450,,,
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1810,,570,Чили,Совиньон Блан\Москатель,"12,5",,,,,,470,,,
"Вино Куумба Шардоне белое сухое 0,75 л",1880,,600,ЮАР,Уни Блан/Совиньон Блан/Айрен,13,,,,,,400,,,
Вино Бродлиф Совиньон Блан белое сухое,1920,,630,ЮАР,Совиньон Блан,"12,5",,,,,,550,,,
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",1960,,650,ЮАР,Шардоне,"12,5",,,,,,650,,,
Вино Тенуте Дель Неччио Орвието Классико белое сухое,2060,,700,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,620,,,
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое МАЛО,2240,,800,Италия,Пино Гриджио,"12,5",,,,,,690,,,
"Вино Универсале белое полусухое 0,75 л",2340,,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,850,,,
"Вино Н Нивариус белое сухое 0,75 л",2430,очень мало,900,Испания,Темпранильо Бланко,"13,5",,,,,,900,,,
Вино Маркес Де Касерес Бланко белое сухое 0.75,2570,,970,Испания,Виура/Макабео,12.5,,,,,,940,,,
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2610,,1000,Франция,Совиньон Блан,"11,5",,,,,,1000,,цена,
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3550,,1500,Испания,Альбариньо,"13,5",,,,,,1500,,,
Вино Трамонтана Сицилия белое сухое,,нет,490,Италия,Треббьяно,11,,,,,,300,,,
"Вино Маркези Спинола Гави Биолоджико DOCG белое сухое 0,75 л",,нет,нет,Италия,Кортезе,"12,5",,,,,,1500,,1000,
,,,,,,,,,,,,,,1100,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,закуп,,1200,
"Вино Кахури Гвинис Марани Алазанская Долина белое полусладкое 0,75 л",1600,,450,Грузия,Ркацители,12,,,,,,350,,1300,
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,400,,1600,
Вино Трамонтана Сицилия белое полусладкое,1670,,490,Италия,Треббьяно,"10,5",,,,,,370,,1300,
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1740,,530,Грузия,Ркацители\Кахури Мцване,13,,,,,,390,,1500,
"Вино Бадагони Алазанская Долина белое полусладкое 0,75 л",1920,,630,Грузия,Ркацители,"10,5",,,,,,470,,1700,
"Вино Энгельшайн Либлих белое полусладкое 0,75 л",1980,,660,Германия,Айрен\Треббьяно\Макабео,"9,5",,,,,,530,,1600,
"Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое 0,75 л",2060,,700,Италия,Маливазия,9,,,,,,550,,1600,
Вино Лизард Рислинг бел.п/сл,2240,,800,Германия,Рислинг,11,,,,,,540,,1900,
"Вино Блэк Бёрд Вестерн Кейп Во белое полусладкое 0,75 л",2240,,800,ЮАР,Шенен Блан,"11,5",,,,,,800,,1800,
