,новая цена,Наличие,NEW,страна,сорт винограда,крепость,,,,,,цена,закуп
ВИНО БЕЛОЕ СУХОЕ,,,,,,,,,,,,,
"Вино Айси Цинандали белое сухое 0,75 л",1510,,450,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1399,400
"Вино Цинандали Алаверди белое сухое 0,75 л",1590,,500,Грузия,Ркацители\Мцване Кахури,12,,,,,,1499,470
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1720,,570,Чили,Совиньон Блан/Москатель,"12,5",,,,,,1599,500
"Вино Эль Ниньо и Ла Луна Бланко белое сухое 0,75 л",1740,,580,Испания,Совиньон БланМакабео,"11,5",,,,,,1649,570
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое 0,75 л",1750,,590,Испания,Совиньон Блан,12,,,,,,1699,590
Вино Бродлиф Совиньон Блан белое сухое ,1820,,630,ЮАР,Совиньон Блан,"12,5",,,,,,1649,550
"Вино жемчужное Кашу Фрешку белое сухое 0,75 л",1860,,650,Португалия,Фернау Пирес,12.5,,,,,,1699,590
"Вино Куумба Шардоне белое сухое 0,75 л",1870,,650,ЮАР,Шардоне,13,,,,,,1399,400
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",1880,,650,ЮАР,Шардоне,"12,5",,,,,,1699,650
"Вино П.В.С.& Б Стеларис Пино Гриджио белое сухое 0,75 л",1890,,670,ЮАР,Пино Гриджио,13,,,,,,1799,670
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",1930,,690,Испания,Вердехо,"12,5",,,,,,1799,670
Вино Тенуте Дель Неччио Орвието Классико белое сухое,1950,,700,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,1649,620
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2120,,800,Италия,Пино Гриджио,"12,5",,,,,,1799,690
"Вино Н Нивариус белое сухое 0,75 л",2120,МАЛО,800,Испания,Темпранильо Бланко,"13,5",,,,,,2299,900
"Вино Адега Май Дори белое сухое 0,75 л",2120,,800,Португалия,Виозиньо\Аринту\Альвариньо\Совиньон Блан,"12,5",,,,,,1899,800
"Вино Универсале белое полусухое 0,75 л",2220,,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,1999,850
Вино Маркес Де Касерес Бланко белое сухое 0.75,2440,,970,Испания,Виура/Макабео,12,,,,,,2399,950
"Вино Алваринью Резерва Винью Верде ДОК белое сухое 0,75 л",2490,,1000,Португалия,Альвариньо,13,,,,,,2499,950
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2500,,1000,Франция,Совиньон Блан,"11,5",,,,,,2799,1000
