СУРГУТ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,,,,,,,,,,,,,
"Вино Айси Цинандали белое сухое 0,75 л",1600,,450,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,,
"Вино Цинандали Алаверди белое сухое 0,75 л",1680,,500,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,,
"Вино Куумба Шардоне белое сухое 0,75 л",1880,,600,ЮАР,Уни Блан/Совиньон Блан/Айрен,13,,,,,,,
Вино Бродлиф Совиньон Блан белое сухое,1920,,630,ЮАР,Совиньон Блан,"12,5",,,,,,,
"Вино Спрингбок Шенен Блан белое сухое 0,75 л",1960,мало,650,ЮАР,Шенен Блан,"12,5",,,,,,,
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",1960,,650,ЮАР,Шардоне,"12,5",,,,,,,
"Вино Тенглд Три Пино Гриджио белое сухое 0,75 л",1960,,650,ЮАР,Пино Гриджио,"12,5",,,,,,,
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",2000,,670,Чили,Совиньон Блан\Москатель,12,,,,,,,
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",2030,,690,Испания,Вердехо,"12,5",,,,,,,
Вино Тенуте Дель Неччио Орвието Классико Умбрия DOC белое сухое,2060,,700,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,,
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2240,,800,Италия,Пино Гриджио,"12,5",,,,,,,
"Вино Универсале белое полусухое 0,75 л",2340,,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,,
"Вино Н Нивариус белое сухое 0,75 л",2430,,900,Испания,Темпранильо Бланко,"13,5",,,,,,,
Вино Маркес Де Касерес Бланко белое сухое 0.75,2570,,970,Испания,Виура/Макабео,"11,5",,,,,,,
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2710,,1050,Франция,Совиньон Блан,"11,5",,,,,,,
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3550,,1500,Испания,Альбариньо,"13,5",,,,,,,
Вино Трамонтана Сицилия белое сухое,,нет,490,Италия,Треббьяно,11,,,,,,,
"Вино Ошторошбор Иршаи Оливер белое сухое 0,75 л",,нет,нет,Венгрия,Иршаи Оливер,11.5,,,,,,,
"Вино Маркези Спинола Гави Биолоджико DOCG белое сухое 0,75 л",,нет,нет,Италия,Кортезе,"12,5",,,,,,,
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино Кахури Гвинис Марани Алазанская Долина белое полусладкое 0,75 л",1600,,450,Грузия,Ркацители,12,,,,,,,
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,,
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Кахури Мцване,13,,,,,,,
"Вино Бадагони Алазанская Долина белое полусладкое 0,75 л",1780,,550,Грузия,Ркацители,"10,5",,,,,,,
"Вино Рио Рика Москато белое полусладкое 0,75 л",1780,мало,550,Чили,Москато,12,,,,,,,
"Вино Энгельшайн Либлих белое полусладкое 0,75 л",1920,,630,Германия,Айрен\Треббьяно\Макабео,"9,5",,,,,,,
"Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое 0,75 л",2060,,700,Италия,Мальвазия,9,,,,,,,
"Вино Молоко Любимой Женщины белое полусладкое 0,75 л",2060,,700,Германия,Мюллер-Тургау\Рислинг\Сильванер\Кёрнер,"9,5",,,,,,,
Вино Лизард Рислинг бел.п/сл,2300,,830,Германия,Рислинг,11,,,,,,,
Вино Маркес Де Касерес Сантинела Риоха DOC белое полусладкое,2610,,1000,Испания,"Мальвазия, Виура/Макабео",11.5,,,,,,,
Вино Трамонтана Сицилия белое полусладкое,,нет,490,Италия,Треббьяно,"10,5",,,,,,,
"Вино Tabla Алазанская Долина белое полусладкое 0,75 л",,нет,нет,Грузия,Ркацители\Цоликоури,"11,5",,,,,,,
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино Вилла Анна Пино Гриджио белое полусухое 0,75 л",1910,,620,Италия,Пино Гриджио,12,,,,,,,
"Вино Терра де Оро Шардоне белое полусухое 0,75 л",1960,мало,650,Чили,Шардоне,13,,,,,,,
