УФА,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Вино Айси Цинандали белое сухое 0,75 л",1470,,390,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,,,,,1100,,,390,,,,,,,
"Вино Куумба Шардоне белое сухое 0,75 л",1810,,570,ЮАР,Шардоне,13,,,,,,,,,,1200,,,400,,,,,,,
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1810,,570,Чили,Совиньон Блан/Москатель,"12,5",,,,,,,,,,1500,,,470,,,,,,,
"Вино Цинандали Бадагони белое сухое 0,75 л",1850,,590,Грузия,Кахети,13,,,,,,,,,,1300,,,450,,,,,,,
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое 0,75 л",1850,,590,Чили,Совиньон Блан,13,,,,,,,,,,1600,,,580,,,,,,,
Вино Бродлиф Совиньон Блан белое сухое,1920,,630,ЮАР,Совиньон Блан,"12,5",,,,,,,,,,1500,,,550,,,,,,,
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",1960,,650,ЮАР,Шардоне,"12,5",,,,,,,,,,1700,,,660,,,,,,,
"Вино П.В.С.& Б Стеларис Пино Гриджио белое сухое 0,75 л",2000,,670,ЮАР,Пино Гриджио,13,,,,,,,,,,1600,,,650,,,,,,,
"Вино жемчужное Кашу Фрешку белое сухое 0,75 л",2000,,670,Португалия,Фернау Пирес,"11,5",,,,,,,,,,1600,,,580,,,,,,,
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",2030,МАЛО,690,Испания,Вердехо,"12,5",,,,,,,,,,1700,,,660,,,,,,,
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",2030,МАЛО,690,Испания,Вердехо,"12,5",,,,,,,,,,1700,,,670,,,,,,,
"Вино Тенуте Дель Неччио Орвието Классико белое сухое 0,75 л",2090,,720,Италия,"Грекетто, Проканико, Шардоне","12,5",,,,,,,,,,1600,,,620,,,,,,,
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2240,,800,Италия,Пино Гриджио,"12,5",,,,,,,,,,1600,,,690,,,,,,,
"Вино Адега Май Дори белое сухое 0,75 л",2240,МАЛО,800,Португалия,Виозиньо\Аринту\Альвариньо\Совиньон Блан,"12,5",,,,,,,,,,1800,,,700,,,,,,,
"Вино Н Нивариус белое сухое 0,75 л",2240,МАЛО,800,Испания,Темпранильо Бланко,"13,5",,,,,,,,,,1900,,,900,,,,,,,
Вино Маркес Де Касерес Бланко белое сухое 0.75,2570,,970,Испания,Виура/Макабео,,,,,,,,,,,1900,,,900,,,,,,,
"Вино Пино Гриджио Делле Венецие Арнази белое сухое 0,75 л",3170,,1300,Италия,Пино Гриджио,"12,5",,,,,,,,,,2400,,,1050,,,,,,,
Вино Трамонтана Сицилия белое сухое,,нет,500,Италия,Треббьяно,11,,,,,,,,,,1000,,,300,,,,,,,
"Вино Ошторошбор Иршаи Оливер белое сухое 0,75 л",,НЕТ,НЕТ,Венгрия,Иршаи Оливер,"11,5",,,,,,,,,,1600,,,500,,,,,,,
"Вино Маркези Спинола Гави Биолоджико DOCG белое сухое 0,75 л",,НЕТ,НЕТ,Италия,Кортезе,"12,5",,,,,,,,,,2500,,,1400,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
"Вино Музаради Алазанская Долина белое полусладкое 0,75 л",1600,,450,Грузия,Ркацители\Белые сорта винограда,"12,5",,,,,,,,,,1400,,,400,,,,,,,
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1670,,490,Грузия,Ркацители\Кахури Мцване,13,,,,,,,,,,1400,,,399,,,,,,,
"Вино Кахури Гвинис Марани Алазанская Долина белое полусладкое 0,75 л",1850,,590,Грузия,Ркацители,12,,,,,,,,,,1300,,,350,,,,,,,
