ВОЛГОГРАД,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
ВИНО БЕЛОЕ СУХОЕ,,,,,,,,,,,,,
"Вино Айси Цинандали белое сухое 0,75 л",1540,,470,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1100,400
"Вино Цинандали Алаверди белое сухое 0,75 л",1590,,500,Грузия,Ркацители\Мцване Кахури,12,,,,,,1300,490
"Вино Куумба Шардоне белое сухое 0,75 л",1720,,570,ЮАР,Шардоне,13,,,,,,1200,490
"Вино Эль Ниньо и Ла Луна Бланко белое сухое 0,75 л",1800,,570,Испания,Совиньон Блан,11,,,,,,1500,550
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое 0,75 л",1750,,590,Чили,Совиньон Блан,13,,,,,,1600,580
"Вино Н Нивариус белое сухое 0,75 л",1770,,600,Испания,Темпранильо Бланко,"13,5",,,,,,1900,900
Вино Бродлиф Совиньон Блан белое сухое,1820,,630,ЮАР,Совиньон Блан,"12,5",,,,,,1500,550
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1860,,650,Чили,Совиньон Блан\Москатель,12,,,,,,1600,650
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",1900,,650,ЮАР,Шардоне,"12,5",,,,,,1700,650
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",1930,,690,Испания,Вердехо,"12,5",,,,,,1700,670
"Вино жемчужное Кашу Фрешку белое сухое 0,75 л",2000,,690,Португалия,Фернау Пирес,"11,5",,,,,,1600,690
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое ,2180,,830,Италия,Пино Гриджио,"12,5",,,,,,1600,690
"Вино Универсале белое полусухое 0,75 л",2220,,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,1900,830
Вино Маркес Де Касерес Бланко белое сухое 0.75,2440,,970,Испания,Виура/Макабео,12,,,,,,2000,950
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2490,,1000,Франция,Совиньон Блан,"11,5",,,,,,2000,1000
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3390,,1500,Испания,Альбариньо,"13,5",,,,,,2500,1500
Вино Трамонтана Сицилия белое сухое,1450,нет,500,Италия,Треббьяно,11,,,,,,1000,370
"Вино Солторо Вердехо белое сухое 0,75 л",,нет,нет,Испания,Вердехо ,"11,5",,,,,,1100,450
"Вино Ошторошбор Иршаи Оливер белое сухое 0,75 л",,нет,нет,Венгрия,Иршаи Оливер,"11,5",,,,,,1600,500
