ВОРОНЕЖ,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
Вино Бродлиф Совиньон Блан белое сухое ,1820,650,630,ЮАР,Совиньон Блан,"12,5",,,,,,1599,590
"Вино Тенуте Дель Неччио Орвието Классико белое сухое 0,75 л",1930,700,690,Италия,Грекетто\Проканико\Шардоне,12.5,,,,,,1599,620
Вино Пьетраме Пино Гриджо Терре ди Кьети Абруццо IGP белое сухое,2110,790,790,Италия,Пино Гриджио,"12,5",,,,,,1699,690
"Вино Универсале белое полусухое 0,75 л",2220,850,850,Италия,Грилло\Совиньон\Верментино,"13,5",,,,,,1899,850
Вино Маркес Де Касерес Бланко белое сухое 0.75 ,2440,1200,970,Испания,Виура/Макабео,12,,,,,,2099,950
"Вино Ла Форшетьер Совиньон Блан белое сухое 0,75 л",2490,1000,1000,Франция,Совиньон Блан,"11,5",,,,,,2199,1000
"Вино Терра Норте ДО Риас Байшас белое сухое 0,75 л",3390,1500,1500,Испания,Альбариньо,"13,5",,,,,,2799,1500
"Вино Кандиум Вердехо до Руэда белое сухое 0,75 л",1760,нет,690,Испания,Вердехо,"12,5",,,,,,1699,670
"Вино Адега Май Дори белое сухое 0,75 л",1950,нет,800,Португалия,Виозиньо\Аринту\Альвариньо\Совиньон Блан,"12,5",,,,,,1799,800
"Вино Н Нивариус белое сухое 0,75 л",2130,нет,900,Испания,Темпранильо Бланко,"13,5",,,,,,1999,900
Вино Трамонтана Сицилия белое сухое,1470,нет,510,Италия,Треббьяно,11,,,,,,1199,480
"Вино Пино Гриджио Делле Венецие Арнази белое сухое 0,75 л",2890,нет,1350,Италия,Пино Гриджио,"12,5",,,,,,2499,1300
"Вино Ошторошбор Иршаи Оливер белое сухое 0,75 л",,нет,нет,Венгрия,Иршаи Оливер,"12,5",,,,,,1199,470
"Вино Айси Цинандали белое сухое 0,75 л",1370,нет,450,Грузия,Ркацители\Мцване Кахури,"12,5",,,,,,1099,400
"Вино Цинандали Алаверди белое сухое 0,75 л",1450,нет,500,Грузия,Ркацители\Мцване Кахури,12,,,,,,1199,470
"Вино Калмеда Совиньон Блан-Москатель белое сухое 0,75 л",1570,нет,570,Чили,Совиньон Блан/Москатель,"12,5",,,,,,1499,550
"Вино Эль Ниньо и Ла Луна Бланко белое сухое 0,75 л",1590,нет,580,Испания,Совиньон БланМакабео,"11,5",,,,,,1499,570
"Вино Тенглд Три Пино Гриджио белое сухое 0,75 л",1590,нет,580,ЮАР,Пино Гриджио,12.5,,,,,,1499,570
"Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое 0,75 л",1600,нет,590,Чили,Совиньон Блан,13,,,,,,1499,570
"Вино Куумба Шардоне белое сухое 0,75 л",1700,нет,650,ЮАР,Шардоне,13,,,,,,1199,480
"Вино Оушен Свирл Шардоне белое сухое 0,75 л",1700,нет,650,ЮАР,Шардоне,"12,5",,,,,,1599,650
"Вино П.В.С.& Б Стеларис Пино Гриджио белое сухое 0,75 л",1730,нет,670,ЮАР,Пино Гриджио,13,,,,,,1699,670
"Вино Кинта Дель Дуке Бланко белое сухое 0,75 л",,нет,нет,Испания,Айрен,11,,,,,,1399,490
"Вино Маркези Спинола Гави Биолоджико DOCG белое сухое 0,75 л",,нет,нет,Италия,Кортезе,"12,5",,,,,,2699,1500
,,,,,,,,,,,,,
ВИНО БЕЛОЕ ПОЛУСЛАДКОЕ,новая цена,наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Бадагони Алазанская Долина белое полусладкое 0,75 л",1580,600,490,Грузия,Ркацители,"10,5",,,,,,1299,470
"Вино Алазанская Долина Алаверди белое полусладкое 0,75 л",1580,490,490,Грузия,Ркацители\Кахури Мцване,13,,,,,,1199,400
"Вино Рио Рика Москато белое полусладкое 0,75 л",1680,670,550,Чили,Москато,12,,,,,,1499,550
"Вино Пиккола Джойа Мальвазия Рубиконе ИГТ белое полусладкое 0,75 л",1930,700,690,Италия,Мальвазия,9,,,,,,1699,630
"Вино Молоко Любимой Женщины белое полусладкое 0,75 л",1950,узнать,700,Германия,Мюллер-Тургау\Рислинг\Сильванер\Кёрнер,"9,5",,,,,,1799,670
"Вино Лизард Рислинг белое полусладкое 0,75 л",2120,870,800,Германия,Рислинг,11,,,,,,1899,800
Вино Маркес Де Касерес Сантинела Риоха DOC белое полусладкое,2490,1844 лудинг,1000,Испания,"Мальвазия, Виура/Макабео",11.5,,,,,,1999,990
